# Dictionary file - Format: word|meaning1;meaning2;meaning3
# Generated by Advanced Dictionary System

instrument|a tool or implement, especially one for precision work;a musical device;a formal document
insurance|a practice by which a company provides a guarantee of compensation for specified loss, damage, illness, or death
intellectual|relating to the intellect;a person possessing a highly developed intellect;cerebral
intelligence|the ability to acquire and apply knowledge and skills;the collection of information of military or political value
intend|have a course of action as one's purpose or intention;plan;mean
intense|of extreme force, degree, or strength;having or showing strong feelings
intensity|the quality of being intense;the measurable amount of a property, such as force or brightness
intention|a thing intended;an aim or plan;purpose
interaction|reciprocal action or influence;communication or direct involvement with someone or something
interest|the feeling of wanting to know or learn about something;money paid for the use of money lent;a share in a company
interested|showing curiosity or concern about something;having a financial stake
interesting|arousing curiosity or interest;holding one's attention
internal|of or situated on the inside;relating to the domestic affairs of a country
international|existing or occurring between two or more nations;agreed on by all or many nations
internet|a global computer network providing a variety of information and communication facilities
interpret|explain the meaning of;translate orally;understand as having a particular meaning
interpretation|the action of explaining the meaning of something;a particular way of performing a piece of music or a role
interrupt|stop the continuous progress of an activity or process;break the continuity of
interval|an intervening time or space;a pause;a space between two things
interview|a meeting of people face to face, especially for consultation or to assess a candidate for a job
into|expressing movement or action with the result that someone or something becomes enclosed or surrounded
introduce|bring something into use or operation for the first time;make someone known by name to another
introduction|the action of introducing something;a formal presentation of one person to another;a preliminary part
invent|create or design something that has not existed before;make up a false story
invention|the action of inventing something;a thing that has been invented;a fabrication
invest|expend money with the expectation of achieving a profit;devote time or energy to an undertaking
investigate|carry out a systematic or formal inquiry to discover and examine the facts;research
investigation|the action of investigating;a formal inquiry or systematic study
investment|the action or process of investing money for profit;a thing that is worth buying because it may be profitable
investor|a person or organization that puts money into financial schemes with the expectation of achieving a profit
invite|make a polite, formal, or friendly request to someone to go somewhere or to do something;ask
involve|have or include something as a necessary part or result;cause to participate in an activity
iron|a strong, hard magnetic silvery-gray metal;a tool for pressing clothes;resolute
island|a piece of land surrounded by water;isle
issue|an important topic or problem for debate or discussion;the action of supplying or distributing an item;publish
it|used to refer to a thing previously mentioned or easily identified;the subject of an impersonal verb
item|an individual article or unit;a piece of news
its|belonging to or associated with a thing previously mentioned or easily identified
itself|used as the object of a verb or preposition to refer to a thing or animal previously mentioned as the subject of the clause
jacket|an outer garment extending to the waist or hips;a protective cover
jam|a sweet spread made from fruit;become stuck or wedged;a crowded mass of people or vehicles
jar|a wide-mouthed cylindrical container made of glass or pottery;a sudden jolting movement
